Symbol,Name
634,BBGI.L,BBGI Sicav S.A.
635,ESNT.L,Essentra plc
636,RSE.L,Riverstone Energy Limited
637,GRI.L,Grainger plc
638,SMP.L,St. Modwen Properties PLC
639,0KCK.L,Stora Enso Oyj
640,JAM.L,JPMorgan American Investment Trust
641,JUST.L,Just Group Plc
642,1YD.F,Broadcom Inc.
643,TGSU2.BA,Transportadora de Gas del Sur S.A.
644,BRW.L,Brewin Dolphin Holdings PLC
645,UTC1.DE,United Technologies Corporation
646,FRAN.BA,BBVA Banco Francés S.A.
647,UNP.F,Union Pacific Corporation
648,ZEG.F,AstraZeneca PLC
649,FOO.F,"salesforce.com, inc."
650,7A2.F,AIA Group Limited
651,FEV.L,Fidelity European Values Ord
652,HOC.L,Hochschild Mining plc
653,RLI.F,Reliance Industries Limited
654,FDM.L,FDM Group (Holdings) plc
655,BVXB.MU,Itaú Unibanco Holding S.A.
656,UTC1.F,United Technologies Corporation
657,ZEGA.F,AstraZeneca PLC
658,TIFS.L,TI Fluid Systems plc
659,ZEG.DE,AstraZeneca PLC
660,2PP.DE,"PayPal Holdings, Inc."
661,BAKK.L,Bakkavor Group plc
662,RYC.F,Royal Bank of Canada
663,ALD.F,Honeywell International Inc.
664,INDV.L,Indivior PLC
665,EIG.L,Ei Group plc
666,OSB.L,OneSavings Bank Plc
667,2PP.F,"PayPal Holdings, Inc."
668,CNE.L,Cairn Energy PLC
669,0R1F.L,Bristol-Myers Squibb Company
670,IBST.L,Ibstock plc
671,GS7.DE,GlaxoSmithKline plc
